vehicle_id,class,class_agreement,n_frames,first_frame,last_frame,duration_sec,mean_confidence,max_confidence
1,car,1.0,25,0,24,0.83,0.9091,0.9754
2,car,1.0,42,0,41,1.4,0.8796,0.9526
3,car,1.0,113,0,112,3.77,0.9182,0.9486
4,rickshaw,0.949,39,0,38,1.3,0.9128,0.9614
5,bike,1.0,71,0,70,2.37,0.9175,0.9421
6,car,1.0,90,0,89,3.0,0.9101,0.9464
7,rickshaw,1.0,16,0,15,0.53,0.8969,0.9171
8,bike,1.0,43,0,42,1.43,0.9026,0.9257
9,car,0.994,173,0,172,5.77,0.9023,0.9872
10,car,1.0,130,0,129,4.33,0.8869,0.9637
11,bike,1.0,87,0,86,2.9,0.9037,0.9547
12,bike,1.0,21,0,20,0.7,0.8672,0.9136
13,bike,1.0,181,0,180,6.03,0.9019,0.9417
14,car,1.0,413,0,412,13.77,0.7576,0.8939
15,bike,1.0,130,0,129,4.33,0.8832,0.9369
16,car,1.0,413,0,412,13.77,0.7965,0.8568
17,bike,1.0,68,0,67,2.27,0.8655,0.9224
18,car,1.0,383,0,412,12.77,0.7623,0.9198
19,bike,1.0,92,0,96,3.07,0.7589,0.8587
20,bike,1.0,55,0,54,1.83,0.8402,0.934
21,bike,1.0,18,0,17,0.6,0.5846,0.6652
22,bike,1.0,329,0,330,10.97,0.7177,0.9397
23,car,1.0,199,0,198,6.63,0.8691,0.9616
24,bike,0.936,157,0,156,5.23,0.8227,0.9515
25,car,1.0,405,0,412,13.5,0.5907,0.766
26,bike,1.0,37,0,36,1.23,0.5781,0.7848
27,bus,1.0,400,0,412,13.33,0.6374,0.8678
28,car,1.0,41,0,47,1.37,0.397,0.5563
29,car,1.0,17,0,19,0.57,0.4434,0.4741
30,bike,1.0,10,0,9,0.33,0.4839,0.5526
31,bike,1.0,13,0,12,0.43,0.4076,0.4493
32,car,1.0,267,0,270,8.9,0.8053,0.9451
33,bike,1.0,34,0,33,1.13,0.3532,0.4707
34,rickshaw,1.0,11,0,11,0.37,0.257,0.2946
35,bike,1.0,1,0,0,0.03,0.1696,0.1696
36,bike,1.0,1,0,0,0.03,0.1689,0.1689
37,rickshaw,1.0,1,0,0,0.03,0.1602,0.1602
38,car,1.0,32,0,47,1.07,0.2533,0.3089
39,car,1.0,1,0,0,0.03,0.1264,0.1264
40,bike,1.0,15,0,26,0.5,0.2452,0.3136
41,car,1.0,1,0,0,0.03,0.112,0.112
128,car,1.0,41,14,54,1.37,0.8998,0.9041
129,car,1.0,41,14,54,1.37,0.8975,0.9153
130,bike,1.0,41,14,54,1.37,0.7988,0.8111
